dt1 dt2 dt3 dt4 controller drones queue deliveries fullTrips revenue costs penalties avgDelTime avgWaitTime fDel fRet fLaunch collisions unknown rejectionPenalties potentialLost avgPotentialLost
Jun 12th 15:37:09.981 UTC 2 14 38 699 692 1671.474 2994.029 0 939.8055 771.9744 0 0 51 0 0 1135 567.9139 2.501823
Jun 12th 15:36:09.978 UTC 2 14 37 695 690 1663.377 2983.75 0 939.3532 771.5486 0 0 51 0 0 1135 567.9139 2.501823
Jun 12th 15:36:08.819 UTC 3 12 1 498 489 1262.33 2242.059 5 194.9017 10.7034 1 0 60 0 0 0 0 NaN
Jun 12th 15:35:09.982 UTC 2 15 40 694 684 1662.817 2954.223 0 939.1294 770.3618 0 0 51 0 0 1130 565.8889 2.503933
Jun 12th 15:35:08.820 UTC 3 14 0 494 486 1254.87 2228.682 5 194.4481 10.71967 1 0 60 0 0 0 0 NaN
Jun 12th 15:34:09.991 UTC 2 15 39 692 682 1658.155 2941.615 0 938.7896 769.851 0 0 51 0 0 1125 564.2539 2.507795
Jun 12th 15:34:08.829 UTC 3 14 1 491 483 1242.889 2217.59 5 193.7905 10.60218 1 0 60 0 0 0 0 NaN
Jun 12th 15:33:09.980 UTC 2 15 39 690 680 1654.278 2929.609 0 938.3898 769.3416 0 0 51 0 0 1115 561.2539 2.516834
Jun 12th 15:33:08.820 UTC 3 15 1 490 481 1238.906 2205.116 5 193.7556 10.44534 1 0 60 0 0 0 0 NaN
Jun 12th 15:32:09.979 UTC 2 15 39 690 679 1654.278 2923.779 0 938.3898 769.1016 0 0 51 0 0 1095 547.8563 2.501627
Jun 12th 15:32:08.820 UTC 3 15 2 487 479 1230.379 2200.266 5 193.4172 9.933315 1 0 60 0 0 0 0 NaN
Jun 12th 15:31:09.980 UTC 2 15 38 684 677 1644.038 2912.269 0 937.0457 768.7568 0 0 51 0 0 1085 544.4013 2.508762
Jun 12th 15:31:08.812 UTC 3 14 6 484 476 1222.474 2180.847 5 192.7502 9.069801 1 0 60 0 0 0 0 NaN
Jun 12th 15:30:08.886 UTC 2 15 36 683 676 1642.767 2909.132 0 936.6736 768.5931 0 0 50 0 0 1085 544.4013 2.508762
Jun 12th 15:30:08.830 UTC 3 15 5 481 475 1216.505 2174.117 5 192.7461 9.069801 1 0 60 0 0 0 0 NaN
Jun 12th 15:29:08.877 UTC 2 15 35 680 676 1638.035 2909.132 0 935.752 768.5931 0 0 50 0 0 1085 544.4013 2.508762
Jun 12th 15:29:08.822 UTC 3 15 2 480 473 1215.705 2166.239 5 192.6918 8.862832 1 0 60 0 0 0 0 NaN
Jun 12th 15:28:08.877 UTC 2 14 37 678 673 1633.94 2895.209 0 935.316 768.1665 0 0 50 0 0 1085 544.4013 2.508762
Jun 12th 15:28:08.821 UTC 3 15 3 479 469 1209.495 2153.184 5 192.5114 8.322175 1 0 60 0 0 0 0 NaN
Jun 12th 15:27:08.887 UTC 2 14 34 676 671 1631.735 2890.445 0 934.745 767.7747 0 0 50 0 0 1085 544.4013 2.508762
Jun 12th 15:27:08.832 UTC 3 15 3 476 468 1203.146 2146.98 5 192.7667 8.211936 1 0 60 0 0 0 0 NaN
Jun 12th 15:26:08.867 UTC 2 14 37 674 668 1623.797 2873.36 0 934.5394 767.2347 0 0 50 0 0 1085 544.4013 2.508762
Jun 12th 15:26:08.821 UTC 3 14 0 472 467 1190.438 2142.005 5 192.6763 8.232708 1 0 60 0 0 0 0 NaN
Jun 12th 15:25:08.886 UTC 2 14 39 672 663 1621.682 2857.216 0 934.2202 766.0632 0 0 50 0 0 1085 544.4013 2.508762
Jun 12th 15:25:08.821 UTC 3 12 0 470 466 1187.323 2139.586 5 192.597 8.238149 1 0 60 0 0 0 0 NaN
Jun 12th 15:24:08.813 UTC 3 11 1 469 464 1184.623 2133.079 5 192.5496 8.257215 1 0 60 0 0 0 0 NaN
Jun 12th 15:24:07.673 UTC 2 15 38 671 661 1615.58 2849.248 0 934.1812 765.8062 0 0 49 0 0 1085 544.4013 2.508762
Jun 12th 15:23:08.827 UTC 3 10 1 467 463 1177.382 2132.01 5 192.6219 8.267205 1 0 60 0 0 0 0 NaN
Jun 12th 15:23:07.674 UTC 2 15 40 668 656 1605.814 2830.72 0 934.0521 764.7595 0 0 49 0 0 1085 544.4013 2.508762
Jun 12th 15:22:08.829 UTC 3 9 1 465 461 1174.397 2122.532 5 192.9255 8.282434 1 0 60 0 0 0 0 NaN
