dt1 dt2 dt3 dt4 uw controller drones queue deliveries fullTrips revenue costs penalties avgDelTime avgWaitTime fDel fRet fLaunch collisions unknown rejecValue avgRejecValue potentialLost avgPotentialLost
Jun 17th 18:41:22.377 UTC 19 2 1 0 580 579 1501.545 2538.653 5 300.2394 121.5212 1 0 4 0 0 0 0 NaN 0 NaN
Jun 17th 18:41:10.939 UTC 7 21 12 0 373 362 1036.146 1495.392 5 288.4949 121.0662 1 1 13 0 2 0 0 NaN 0 NaN
Jun 17th 18:41:02.905 UTC 14 14 4 0 674 670 1646.724 3362.123 0 574.8654 376.9377 0 0 9 0 1 235 114.5801 2.437875 89.5304 1.904902
Jun 17th 18:40:48.587 UTC 0 22 3 0 299 296 742.7805 1144.008 0 555.0787 401.758 0 0 26 0 0 650 312.003 2.400023 298.8334 2.298719
Jun 17th 18:40:44.939 UTC 4 9 0 0 398 398 1120.504 1677.767 5 237.6787 65.54224 1 0 8 0 2 0 0 NaN 0 NaN
Jun 17th 18:40:42.651 UTC 9 23 3 0 737 734 1789.697 3673.568 10 527.0917 329.1284 2 0 3 0 0 155 69.97927 2.257396 62.97853 2.031566
Jun 17th 18:40:37.524 UTC 2 24 5 0 803 798 1963.29 4263.835 10 610.8082 400.1538 2 0 0 0 0 295 136.9435 2.321075 117.1988 1.986421
Jun 17th 18:40:37.522 UTC 22 17 1 0 478 478 1261.653 2033.756 15 233.79 51.02383 3 0 0 0 0 0 0 NaN 0 NaN
Jun 17th 18:40:37.511 UTC 17 3 3 0 666 663 1708.235 3147.602 5 407.1792 218.3313 1 0 0 0 0 25 10.72395 2.14479 10.31695 2.06339
Jun 17th 18:40:37.489 UTC 6 16 0 0 586 585 1535.73 2998.015 5 367.6679 165.4876 1 1 0 0 0 0 0 NaN 0 NaN
Jun 17th 18:40:37.442 UTC 20 15 3 0 568 565 1539.417 2544.465 0 268.2213 90.76338 0 0 0 0 0 0 0 NaN 0 NaN
Jun 17th 18:40:37.210 UTC 11 20 1 0 534 532 1402.602 2310.334 35.17241 247.3492 72.6062 7 1 0 0 0 0 0 NaN 0 NaN
Jun 17th 18:40:33.188 UTC 21 4 2 0 728 726 1850.782 3695.817 5 712.7482 511.6428 1 0 9 0 0 680 352.9054 2.594893 326.1358 2.398057
