dt1 dt2 dt3 dt4 controller drones queue deliveries fullTrips revenue costs penalties avgDelTime avgWaitTime fDel fRet fLaunch collisions unknown potentialLost avgPotentialLost
Jun 11th 08:36:28.646 UTC 3 10 0 487 477 1276.611 2166.585 10.0214 193.5647 13.64759 2 1 57 0 0 0 NaN
Jun 11th 08:35:48.019 UTC 2 15 38 724 717 1857.127 2814.033 0 299.7961 145.2088 0 0 68 0 0 240.7366 1.895564
Jun 11th 08:35:28.637 UTC 3 11 0 484 475 1266.717 2155.665 10.0214 193.8731 13.65635 2 1 57 0 0 0 NaN
Jun 11th 08:34:48.021 UTC 2 15 35 721 715 1845.491 2805.417 0 299.9229 145.4331 0 0 68 0 0 240.7366 1.895564
Jun 11th 08:34:28.646 UTC 3 12 1 480 473 1256.995 2144.372 10.0214 193.7402 13.66519 2 1 57 0 0 0 NaN
Jun 11th 08:33:48.012 UTC 2 15 33 719 713 1839.461 2799.421 0 300.2344 145.7382 0 0 68 0 0 240.7366 1.895564
Jun 11th 08:33:28.646 UTC 3 12 0 478 472 1250.215 2137.457 10.0214 193.9154 13.68842 2 1 57 0 0 0 NaN
Jun 11th 08:32:48.020 UTC 2 15 34 716 709 1830.232 2780.645 0 300.6911 145.7762 0 0 68 0 0 240.7366 1.895564
Jun 11th 08:32:28.637 UTC 3 12 0 478 469 1250.215 2124.258 10.0214 193.9154 13.72774 2 1 57 0 0 0 NaN
Jun 11th 08:31:48.009 UTC 2 12 36 715 708 1826.553 2775.124 0 300.8814 146.2674 0 0 68 0 0 240.7366 1.895564
Jun 11th 08:31:26.750 UTC 3 12 1 476 468 1241.676 2118.651 10.0214 193.3408 13.74903 2 1 55 0 0 0 NaN
Jun 11th 08:30:46.813 UTC 2 13 39 713 702 1820.476 2750.645 0 300.8206 146.8352 0 0 67 0 0 240.7366 1.895564
Jun 11th 08:30:26.752 UTC 3 14 0 475 464 1241.076 2100.111 10.0214 193.2884 13.7764 2 1 55 0 0 0 NaN
Jun 11th 08:29:45.825 UTC 2 15 40 709 700 1808.904 2738.866 0 301.4278 146.8352 0 0 66 0 0 240.0009 1.96722
Jun 11th 08:29:26.750 UTC 3 14 2 471 462 1224.056 2093.85 10.0214 192.3452 13.44277 2 1 55 0 0 0 NaN
Jun 11th 08:28:45.813 UTC 2 15 40 707 699 1806.534 2734.083 0 301.7847 147.0243 0 0 66 0 0 233.0669 1.975143
Jun 11th 08:28:26.751 UTC 3 15 3 469 460 1218.724 2080.023 10.0214 192.3541 13.15898 2 0 55 0 0 0 NaN
Jun 11th 08:27:45.833 UTC 2 15 37 705 698 1801.461 2732.775 0 302.0865 147.162 0 0 66 0 0 233.0669 1.975143
